time,count,words
2017-02-05 17:19:00-08:00,20312,gaga lady halftime show #pepsihalftime @ladygaga #ladygaga im like #halftimeshow
2017-02-05 17:20:00-08:00,22641,gaga lady halftime show #pepsihalftime @ladygaga #ladygaga #halftimeshow im like
2017-02-05 17:21:00-08:00,22722,gaga lady halftime show #pepsihalftime @ladygaga #ladygaga like #halftimeshow im
2017-02-05 17:22:00-08:00,24373,gaga lady show halftime #pepsihalftime #ladygaga @ladygaga like im #halftimeshow
2017-02-05 17:23:00-08:00,22953,gaga lady show halftime #pepsihalftime #ladygaga @ladygaga like half time
2017-02-05 17:24:00-08:00,22168,gaga lady show halftime #pepsihalftime @ladygaga #ladygaga bad romance like
2017-02-05 17:25:00-08:00,22159,gaga lady show halftime #pepsihalftime #ladygaga @ladygaga bad im like
2017-02-05 17:26:00-08:00,22571,gaga lady halftime show #pepsihalftime @ladygaga #ladygaga yeah performance like
2017-02-05 17:27:00-08:00,35663,gaga lady #pepsihalftime show halftime @ladygaga #ladygaga wow #gaga performance
2017-02-05 17:28:00-08:00,43819,gaga lady #pepsihalftime show halftime @ladygaga #ladygaga performance #gaga wow
2017-02-05 17:29:00-08:00,44768,gaga lady #pepsihalftime show @ladygaga halftime performance #ladygaga patriots #gaga
2017-02-05 17:30:00-08:00,42575,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga patriots wow
2017-02-05 17:31:00-08:00,40338,gaga lady show @ladygaga halftime #pepsihalftime performance #ladygaga patriots wow
2017-02-05 17:32:00-08:00,43024,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga wow patriots
2017-02-05 17:33:00-08:00,43414,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga patriots wow
2017-02-05 17:34:00-08:00,38905,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga patriots like
2017-02-05 17:35:00-08:00,34746,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga like patriots
2017-02-05 17:36:00-08:00,29783,gaga lady @ladygaga show halftime #pepsihalftime performance #ladygaga like patriots
2017-02-05 17:37:00-08:00,26048,gaga lady show @ladygaga halftime #pepsihalftime performance #ladygaga patriots like
2017-02-05 17:38:00-08:00,23485,gaga lady show @ladygaga halftime #pepsihalftime performance #ladygaga like patriots
2017-02-05 17:39:00-08:00,23279,lady gaga show #pepsihalftime halftime @ladygaga performance patriots gagas #ladygaga
2017-02-05 17:40:00-08:00,24233,lady gaga halftime show #pepsihalftime @ladygaga performance gagas commercial full
2017-02-05 17:41:00-08:00,24842,lady gaga halftime show #pepsihalftime performance @ladygaga commercial gagas mr
2017-02-05 17:42:00-08:00,24165,lady gaga halftime show #pepsihalftime performance @ladygaga commercial gagas full
2017-02-05 17:43:00-08:00,22427,lady gaga halftime show #pepsihalftime performance @ladygaga gagas commercial full
2017-02-05 17:44:00-08:00,21682,lady gaga halftime show #pepsihalftime performance @ladygaga gagas commercial im
2017-02-05 17:45:00-08:00,20339,lady gaga halftime show #pepsihalftime performance @ladygaga gagas like patriots
2017-02-05 17:46:00-08:00,18842,lady gaga halftime show #pepsihalftime performance @ladygaga gagas patriots im
2017-02-05 17:47:00-08:00,20134,lady gaga halftime show #pepsihalftime performance @ladygaga patriots commercial im
2017-02-05 17:48:00-08:00,21824,lady gaga halftime show #pepsihalftime commercial performance @ladygaga im patriots
2017-02-05 17:49:00-08:00,19539,lady gaga halftime show #pepsihalftime @ladygaga performance commercial patriots im
2017-02-05 17:50:00-08:00,21394,lady gaga halftime show #pepsihalftime @ladygaga performance patriots im commercial
2017-02-05 17:51:00-08:00,20487,lady gaga halftime show #pepsihalftime @ladygaga performance patriots commercial im
2017-02-05 17:52:00-08:00,19172,lady gaga halftime show #pepsihalftime @ladygaga performance patriots gagas im
2017-02-05 17:53:00-08:00,20443,lady gaga halftime show #pepsihalftime @ladygaga #riseup performance falcons patriots
2017-02-05 17:54:00-08:00,27630,falcons lady #riseup gaga touchdown coleman patriots halftime show another
2017-02-05 17:55:00-08:00,24460,lady gaga falcons #riseup patriots halftime show #pepsihalftime touchdown coleman
2017-02-05 17:56:00-08:00,24534,lady gaga patriots halftime show falcons #pepsihalftime #riseup commercial @ladygaga
2017-02-05 17:57:00-08:00,23138,lady gaga show halftime patriots things commercial stranger #pepsihalftime 2
2017-02-05 17:58:00-08:00,24487,lady gaga halftime show patriots things commercial 2 stranger #pepsihalftime
2017-02-05 17:59:00-08:00,23004,lady gaga halftime patriots show #pepsihalftime things falcons 2 commercial
2017-02-05 18:00:00-08:00,20888,lady gaga halftime show patriots #pepsihalftime performance @ladygaga things commercial
