time,count,words
2017-02-05 18:33:00-08:00,15957,lady halftime win gaga falcons patriots show im everyone 100
2017-02-05 18:34:00-08:00,15886,lady halftime win gaga falcons im 100 show everyone patriots
2017-02-05 18:35:00-08:00,13961,lady win gaga halftime falcons im show patriots 100 everyone
2017-02-05 18:36:00-08:00,13395,lady halftime gaga win falcons show im patriots everyone 100
2017-02-05 18:37:00-08:00,14658,lady gaga win halftime falcons show im everyone 100 patriots
2017-02-05 18:38:00-08:00,13700,lady falcons gaga halftime win patriots im show everyone 100
2017-02-05 18:39:00-08:00,14139,lady gaga falcons patriots win halftime im brady show everyone
2017-02-05 18:40:00-08:00,12021,lady gaga falcons win halftime im show patriots brady 100
2017-02-05 18:41:00-08:00,12326,lady gaga falcons patriots im win halftime show 100 amp
2017-02-05 18:42:00-08:00,16638,game lady one touchdown patriots got falcons gaga win brady
2017-02-05 18:43:00-08:00,20367,game falcons patriots lady one win got brady touchdown im
2017-02-05 18:44:00-08:00,18697,game lady falcons patriots one win got gaga im brady
2017-02-05 18:45:00-08:00,14265,lady falcons game win gaga patriots halftime one im show
2017-02-05 18:46:00-08:00,11882,lady gaga win falcons halftime one im patriots show game
2017-02-05 18:47:00-08:00,12180,lady win falcons gaga halftime show 100 patriots im everyone
2017-02-05 18:48:00-08:00,12782,julio catch lady jones gaga falcons win halftime show words
2017-02-05 18:49:00-08:00,21436,julio catch jones words lady gaga one falcons win wow
2017-02-05 18:50:00-08:00,19112,julio kidding catch jones lady gaga falcons win patriots one
2017-02-05 18:51:00-08:00,14195,julio jones kidding lady footwork unstoppable elite catch gaga halftime
2017-02-05 18:52:00-08:00,11611,lady julio gaga jones falcons halftime win im show kidding
2017-02-05 18:53:00-08:00,13903,lady falcons game julio gaga win im halftime jones patriots
2017-02-05 18:54:00-08:00,14569,game lady falcons tom brady win gaga got ball im
2017-02-05 18:55:00-08:00,11520,lady game brady falcons gaga win halftime im patriots show
2017-02-05 18:56:00-08:00,10418,lady gaga falcons win halftime brady game show im patriots
2017-02-05 18:57:00-08:00,10998,lady falcons gaga win atlanta im halftime brady game patriots
2017-02-05 18:58:00-08:00,9396,lady gaga falcons win halftime way im catch show game
2017-02-05 18:59:00-08:00,25281,catch way edelman thats wow catches one lady holy patriots
2017-02-05 19:00:00-08:00,23554,catch game edelman catches insane years lady one wow inches
2017-02-05 19:01:00-08:00,24223,catch game edelman inches catches julian falcons lady oh god
2017-02-05 19:02:00-08:00,25715,catch edelman game julian oh god lady falcons patriots win
2017-02-05 19:03:00-08:00,23551,edelman catch julian game caught ball lady somehow falcons win
2017-02-05 19:04:00-08:00,14484,game catch lady edelman gaga julian im falcons win patriots
2017-02-05 19:05:00-08:00,16184,game touchdown lady white patriots james falcons im gaga halftime
2017-02-05 19:06:00-08:00,24696,game tie good 2 2828 point conversion wowowowowow patriots wow
2017-02-05 19:07:00-08:00,38696,game tie brady tom 2828 good conversion patriots ever falcons
2017-02-05 19:08:00-08:00,31903,game brady tom tie yards patriots 2828 drive completions set
2017-02-05 19:09:00-08:00,22272,game brady tom history patriots falcons overtime lady im greatest
2017-02-05 19:10:00-08:00,17187,game falcons brady overtime history lady patriots like tom im
2017-02-05 19:11:00-08:00,20717,game falcons overtime brady win history like patriots tom lady
2017-02-05 19:12:00-08:00,19187,game falcons brady patriots overtime win like history lady im
2017-02-05 19:13:00-08:00,18923,game overtime first history ot ever time falcons lady win
2017-02-05 19:14:00-08:00,29777,first overtime ever time history welcome ot game falcons patriots
2017-02-05 19:15:00-08:00,33706,first overtime history time ever ot game welcome falcons patriots
2017-02-05 19:16:00-08:00,38667,overtime first history ever time game ot welcome patriots falcons
2017-02-05 19:17:00-08:00,35388,overtime first history game ever time ot welcome patriots falcons
2017-02-05 19:18:00-08:00,26436,overtime first history game ever time ot patriots falcons win
2017-02-05 19:19:00-08:00,21096,overtime first history game time ever im falcons patriots win
2017-02-05 19:20:00-08:00,18739,overtime first game history falcons time brady ever im win
2017-02-05 19:21:00-08:00,17105,overtime first game falcons history brady time ever win patriots
2017-02-05 19:22:00-08:00,17939,brady overtime first game time falcons ot history win patriots
2017-02-05 19:23:00-08:00,16252,game falcons overtime brady first win time patriots history im
2017-02-05 19:24:00-08:00,17534,brady patriots game win falcons overtime history tom ever time
2017-02-05 19:25:00-08:00,43805,patriots comeback win new england brady greatest falcons champions history
